g_stigma,g_other
1460.2752,1495.418
1292.0832,1287.879
-3103.9488,972.31875
1422.4896,1448.7928
-4126.0032,2053.59375
2101.248,2286.3406
-3963.3408,1881.50625
1540.4544,1594.3544
